approaching, opponent, attackcount
7, 0, 3
4, 2, 5
8, 0, 5
9, 4, 5
3, 1, 8
0, 9, 2
3, 6, 1
2, 3, 5
2, 6, 7
3, 9, 0
4, 8, 5
7, 5, 4
6, 4, 9
8, 2, 5
3, 4, 6
6, 8, 6
0, 3, 4
6, 9, 6
2, 0, 3
0, 5, 11
4, 9, 7
2, 8, 5
5, 0, 4
2, 9, 3
8, 9, 4
9, 5, 5
6, 5, 6
8, 7, 10
9, 2, 3
1, 0, 5
9, 8, 3
8, 3, 4
1, 5, 5
7, 4, 8
5, 3, 11
9, 6, 3
9, 3, 3
4, 7, 11
4, 6, 5
1, 2, 3
2, 5, 9
0, 7, 4
1, 4, 10
1, 3, 9
2, 4, 3
6, 3, 1
2, 7, 4
5, 4, 4
0, 8, 4
4, 1, 7
8, 4, 2
7, 1, 3
3, 5, 9
6, 2, 2
1, 7, 4
3, 0, 3
5, 8, 9
8, 5, 8
3, 7, 4
8, 6, 4
7, 6, 5
3, 2, 5
9, 0, 3
0, 1, 6
0, 4, 0
9, 7, 3
5, 1, 4
7, 8, 3
0, 6, 6
4, 5, 5
5, 9, 4
6, 7, 3
3, 8, 4
4, 3, 4
5, 7, 2
0, 2, 6
8, 1, 2
2, 1, 2
7, 3, 3
5, 2, 6
1, 9, 8
6, 0, 4
4, 0, 1
7, 2, 5
1, 8, 12
5, 6, 7
1, 6, 7
6, 1, 7
9, 1, 8
7, 9, 4
