self, opp, fightsavoided
6, 4, 2
2, 7, 6
7, 4, 7
3, 6, 3
1, 0, 1
4, 3, 5
7, 5, 3
8, 4, 6
5, 0, 3
8, 1, 5
2, 6, 3
9, 4, 6
8, 5, 12
5, 1, 14
3, 0, 5
3, 1, 7
3, 5, 9
6, 3, 2
7, 2, 2
1, 6, 3
1, 8, 7
0, 9, 6
2, 5, 9
0, 7, 4
3, 8, 0
1, 4, 10
5, 6, 4
2, 8, 3
6, 1, 6
7, 3, 6
5, 4, 2
3, 9, 2
2, 1, 6
1, 7, 2
2, 3, 2
9, 0, 5
7, 8, 4
1, 5, 15
6, 9, 3
4, 8, 2
5, 8, 8
8, 7, 2
9, 2, 2
6, 2, 11
5, 2, 1
0, 8, 4
2, 4, 8
7, 9, 0
6, 8, 5
0, 6, 6
0, 3, 4
1, 3, 12
6, 5, 12
0, 5, 7
8, 6, 4
8, 9, 4
8, 0, 3
6, 7, 4
1, 2, 4
9, 6, 4
9, 8, 8
1, 9, 1
9, 5, 19
5, 7, 1
2, 9, 1
7, 1, 8
6, 0, 3
9, 1, 17
3, 7, 3
3, 4, 8
5, 3, 6
8, 2, 2
4, 0, 2
9, 7, 2
4, 7, 4
5, 9, 0
4, 9, 2
8, 3, 5
7, 0, 1
9, 3, 5
4, 2, 8
0, 1, 6
7, 6, 5
0, 2, 5
3, 2, 1
2, 0, 4
4, 5, 8
4, 6, 0
0, 4, 1
4, 1, 7
