winner, loser, victorycount
0, 3, 1
4, 5, 6
5, 3, 0
0, 8, 0
0, 7, 0
8, 2, 0
3, 5, 7
1, 9, 0
2, 7, 2
3, 6, 0
8, 4, 0
1, 0, 4
5, 4, 0
5, 7, 0
2, 0, 9
7, 5, 8
6, 9, 5
7, 2, 3
5, 9, 0
1, 4, 0
2, 8, 7
9, 4, 13
6, 1, 21
0, 5, 8
7, 9, 0
6, 7, 16
7, 6, 0
1, 8, 10
7, 4, 1
7, 1, 15
9, 7, 17
2, 4, 4
3, 2, 0
5, 1, 0
9, 6, 6
0, 4, 0
8, 5, 6
9, 8, 18
3, 7, 0
5, 0, 0
1, 3, 9
2, 3, 7
5, 6, 0
4, 3, 5
4, 8, 9
3, 9, 0
4, 1, 7
6, 5, 18
2, 1, 11
2, 9, 0
3, 4, 0
8, 0, 4
3, 8, 0
3, 0, 1
6, 3, 8
6, 2, 13
5, 2, 0
6, 8, 14
9, 5, 16
9, 3, 11
4, 7, 9
4, 9, 0
2, 6, 0
4, 0, 4
8, 1, 0
6, 4, 11
4, 6, 0
8, 3, 7
9, 1, 11
8, 9, 0
9, 0, 13
7, 8, 10
8, 7, 0
9, 2, 8
2, 5, 6
6, 0, 16
1, 5, 8
0, 2, 0
4, 2, 6
0, 1, 0
5, 8, 0
7, 3, 10
8, 6, 0
0, 9, 0
0, 6, 0
1, 2, 0
1, 7, 0
1, 6, 0
3, 1, 0
7, 0, 11
