approaching, opponent, attackcount
1, 3, 5
8, 1, 6
4, 3, 7
5, 6, 7
4, 0, 7
6, 8, 0
8, 5, 4
9, 2, 4
5, 7, 6
9, 5, 2
3, 6, 3
6, 9, 3
6, 2, 7
3, 7, 3
3, 0, 2
1, 7, 10
1, 0, 5
5, 9, 6
9, 7, 5
7, 9, 5
9, 8, 6
1, 9, 4
7, 5, 9
3, 5, 1
9, 1, 2
0, 8, 2
8, 2, 5
7, 2, 2
5, 8, 6
8, 0, 3
9, 6, 2
6, 7, 6
0, 4, 5
2, 7, 5
6, 4, 2
7, 6, 8
8, 9, 10
5, 3, 5
0, 2, 2
0, 5, 6
2, 1, 6
1, 2, 4
5, 1, 3
6, 3, 2
1, 6, 5
3, 4, 2
7, 3, 3
0, 1, 3
8, 6, 2
6, 1, 5
4, 5, 7
5, 2, 7
2, 0, 8
3, 1, 5
5, 4, 9
3, 8, 5
9, 4, 4
2, 8, 6
7, 4, 4
4, 2, 4
2, 5, 4
5, 0, 11
1, 5, 3
4, 7, 5
0, 6, 6
4, 8, 3
3, 9, 3
2, 3, 11
2, 4, 6
0, 3, 5
2, 9, 12
1, 4, 5
9, 3, 9
6, 5, 3
4, 6, 8
4, 1, 5
1, 8, 3
6, 0, 6
2, 6, 2
9, 0, 6
8, 3, 7
4, 9, 8
7, 8, 4
8, 7, 4
0, 9, 3
8, 4, 7
7, 1, 4
3, 2, 4
7, 0, 8
0, 7, 3
