self, opp, fightsavoided
5, 1, 0
6, 5, 13
7, 0, 2
3, 0, 5
0, 5, 9
5, 4, 4
8, 2, 6
3, 8, 4
5, 7, 1
5, 0, 8
9, 5, 4
4, 0, 5
1, 2, 5
2, 8, 3
8, 7, 8
9, 7, 4
0, 6, 7
2, 6, 1
5, 6, 1
6, 2, 2
7, 2, 3
1, 9, 3
2, 3, 4
7, 3, 13
3, 9, 2
0, 1, 2
8, 5, 3
7, 1, 5
3, 5, 1
4, 7, 7
4, 1, 6
4, 9, 0
6, 8, 6
5, 3, 5
1, 5, 8
9, 3, 5
8, 1, 3
4, 5, 9
1, 4, 9
7, 9, 3
9, 6, 4
7, 4, 7
2, 9, 2
8, 0, 7
5, 9, 2
5, 8, 6
3, 7, 3
9, 8, 11
4, 8, 1
6, 9, 4
6, 0, 10
3, 1, 5
0, 9, 1
1, 8, 8
9, 0, 10
6, 4, 7
5, 2, 6
2, 1, 4
3, 4, 9
4, 3, 6
0, 8, 5
6, 3, 5
7, 6, 2
2, 0, 1
1, 7, 4
8, 6, 3
0, 2, 3
9, 2, 14
1, 6, 1
8, 9, 4
8, 3, 2
0, 4, 4
2, 5, 2
6, 7, 5
4, 6, 1
9, 1, 2
9, 4, 11
1, 0, 4
8, 4, 4
0, 3, 4
7, 5, 10
7, 8, 8
2, 4, 6
4, 2, 9
3, 6, 4
6, 1, 5
2, 7, 2
0, 7, 5
3, 2, 13
1, 3, 5
