winner, loser, victorycount
5, 8, 6
9, 0, 1
3, 1, 1
0, 1, 10
2, 9, 2
6, 7, 5
9, 2, 9
6, 4, 3
9, 6, 7
1, 4, 10
3, 9, 1
5, 3, 4
4, 1, 4
8, 6, 4
4, 5, 11
2, 4, 1
7, 0, 7
8, 7, 5
3, 7, 4
9, 5, 7
8, 9, 3
0, 2, 7
6, 8, 3
4, 6, 5
4, 0, 4
2, 8, 3
4, 9, 4
4, 2, 4
1, 3, 5
2, 0, 9
2, 6, 2
7, 9, 4
7, 8, 10
4, 3, 8
5, 6, 7
7, 4, 7
7, 1, 2
0, 3, 4
9, 3, 6
0, 7, 9
9, 8, 2
5, 1, 7
8, 3, 2
4, 7, 2
1, 5, 3
0, 4, 3
8, 5, 4
0, 8, 8
6, 0, 1
1, 6, 5
3, 2, 8
3, 6, 4
9, 7, 11
6, 9, 10
8, 0, 3
1, 7, 2
2, 7, 1
8, 1, 8
5, 2, 2
3, 0, 3
2, 3, 6
5, 4, 8
8, 4, 7
5, 0, 11
6, 1, 3
0, 5, 5
6, 2, 5
6, 5, 6
1, 0, 8
2, 5, 6
3, 8, 5
5, 9, 5
1, 2, 2
3, 4, 5
5, 7, 4
0, 9, 6
2, 1, 2
7, 3, 3
7, 2, 3
1, 9, 9
6, 3, 2
9, 4, 4
7, 5, 7
7, 6, 3
3, 5, 2
0, 6, 4
1, 8, 7
9, 1, 5
8, 2, 7
4, 8, 3
