approaching, opponent, attackcount
4, 1, 6
3, 8, 6
2, 4, 5
9, 0, 10
7, 9, 3
4, 5, 10
9, 8, 5
6, 4, 7
8, 2, 3
5, 0, 1
1, 2, 5
7, 2, 8
5, 6, 7
0, 4, 4
6, 3, 7
6, 2, 5
1, 4, 2
5, 8, 1
9, 2, 5
1, 8, 5
7, 0, 2
7, 3, 7
5, 4, 3
8, 0, 0
8, 6, 6
5, 3, 3
1, 9, 9
1, 7, 1
0, 3, 2
9, 4, 2
0, 6, 0
9, 7, 10
8, 3, 2
5, 2, 7
2, 7, 5
4, 7, 3
2, 1, 8
5, 7, 3
8, 1, 3
6, 0, 0
1, 3, 3
1, 0, 4
7, 4, 8
7, 1, 8
4, 0, 5
1, 5, 3
7, 5, 5
5, 1, 5
8, 4, 4
6, 7, 6
3, 4, 8
6, 5, 2
6, 9, 3
4, 2, 4
3, 1, 9
6, 8, 3
4, 8, 8
9, 3, 2
9, 6, 13
7, 6, 7
3, 2, 7
2, 9, 7
4, 3, 7
8, 5, 2
3, 0, 5
3, 6, 5
4, 9, 14
4, 6, 5
3, 7, 9
2, 0, 5
3, 9, 6
2, 3, 6
0, 5, 0
3, 5, 4
0, 9, 3
2, 5, 6
9, 1, 8
2, 8, 6
0, 7, 5
2, 6, 3
1, 6, 3
0, 8, 4
0, 2, 4
5, 9, 7
6, 1, 2
7, 8, 7
9, 5, 7
8, 9, 4
0, 1, 3
8, 7, 5
