self, opp, fightsavoided
3, 6, 7
1, 0, 6
9, 6, 2
1, 5, 2
3, 2, 0
0, 5, 3
5, 2, 1
9, 7, 5
4, 6, 3
0, 8, 1
5, 1, 8
6, 9, 9
1, 2, 2
4, 2, 5
4, 9, 11
2, 7, 3
3, 1, 5
2, 0, 12
1, 9, 6
1, 7, 2
2, 8, 2
6, 8, 5
8, 4, 6
0, 3, 3
3, 9, 2
2, 1, 7
5, 4, 3
7, 0, 7
6, 0, 8
1, 6, 6
1, 8, 1
2, 9, 7
8, 5, 6
6, 2, 2
3, 7, 3
8, 0, 3
5, 3, 9
7, 5, 2
6, 3, 10
4, 5, 10
4, 0, 12
5, 0, 16
8, 6, 7
9, 4, 2
6, 7, 2
4, 3, 8
7, 8, 7
3, 5, 3
1, 4, 5
3, 4, 0
0, 1, 8
9, 3, 14
4, 1, 4
0, 4, 1
8, 3, 6
8, 9, 14
7, 9, 8
9, 1, 2
3, 8, 1
7, 6, 9
7, 3, 9
4, 7, 4
6, 4, 0
9, 8, 3
8, 1, 0
7, 1, 4
0, 7, 6
0, 2, 1
5, 6, 8
5, 9, 2
1, 3, 9
9, 2, 1
6, 1, 5
4, 8, 8
8, 7, 5
2, 6, 2
0, 6, 11
9, 0, 3
3, 0, 3
7, 2, 2
6, 5, 5
7, 4, 1
2, 5, 3
5, 8, 3
0, 9, 10
5, 7, 3
2, 3, 10
9, 5, 1
8, 2, 0
2, 4, 4
