winner, loser, victorycount
3, 9, 5
1, 8, 1
6, 3, 4
9, 3, 8
2, 5, 1
9, 0, 5
8, 3, 5
6, 4, 7
2, 8, 5
9, 6, 7
3, 5, 11
1, 4, 7
0, 6, 7
2, 7, 2
3, 2, 4
8, 2, 4
3, 1, 10
9, 5, 10
8, 4, 3
5, 3, 0
7, 4, 4
4, 5, 0
0, 5, 8
2, 1, 8
6, 7, 3
7, 0, 0
8, 6, 8
9, 1, 16
5, 0, 1
3, 8, 10
2, 3, 6
9, 8, 7
9, 2, 10
1, 0, 2
5, 4, 3
3, 0, 10
4, 8, 1
3, 4, 10
7, 5, 3
6, 9, 2
0, 7, 8
6, 1, 15
5, 2, 0
5, 9, 1
8, 7, 8
1, 6, 1
8, 1, 5
4, 6, 1
1, 9, 0
1, 2, 6
1, 7, 4
7, 2, 1
0, 1, 10
9, 4, 9
4, 0, 1
8, 5, 5
1, 3, 1
7, 8, 2
7, 6, 3
8, 9, 3
0, 8, 15
4, 7, 4
6, 2, 5
4, 1, 5
5, 6, 1
7, 1, 5
4, 2, 1
9, 7, 9
2, 0, 2
6, 0, 5
4, 3, 1
5, 1, 2
0, 2, 9
3, 7, 10
0, 3, 2
7, 9, 1
5, 7, 2
5, 8, 1
2, 6, 2
7, 3, 1
0, 9, 7
0, 4, 13
6, 5, 17
1, 5, 4
2, 9, 3
8, 0, 4
2, 4, 3
4, 9, 1
6, 8, 5
3, 6, 8
