approaching, opponent, attackcount
4, 2, 2
8, 2, 4
5, 1, 7
1, 3, 4
5, 9, 10
4, 6, 5
4, 7, 8
4, 0, 3
2, 4, 2
2, 0, 3
8, 7, 4
4, 5, 7
9, 5, 2
3, 2, 2
9, 6, 0
6, 9, 3
1, 5, 3
7, 1, 4
0, 4, 5
5, 3, 9
6, 2, 4
5, 6, 1
0, 8, 9
0, 1, 6
0, 6, 5
6, 7, 7
2, 8, 7
6, 1, 6
1, 2, 2
3, 9, 2
5, 2, 3
8, 0, 1
1, 7, 5
3, 5, 2
8, 1, 6
9, 0, 0
7, 8, 1
6, 8, 10
3, 8, 2
4, 9, 14
8, 5, 4
6, 5, 6
8, 4, 2
1, 4, 3
6, 0, 5
8, 9, 2
4, 1, 7
1, 6, 2
3, 7, 6
3, 0, 1
0, 3, 17
3, 1, 1
9, 8, 2
2, 5, 5
2, 9, 9
9, 2, 2
9, 4, 2
3, 6, 5
7, 6, 3
9, 1, 4
2, 1, 4
8, 6, 5
9, 3, 2
5, 8, 7
1, 8, 10
7, 5, 2
0, 9, 21
7, 9, 6
1, 9, 7
0, 7, 7
7, 3, 7
0, 5, 10
2, 6, 9
6, 3, 8
6, 4, 2
3, 4, 5
7, 0, 3
5, 7, 9
2, 3, 8
5, 0, 1
9, 7, 3
4, 3, 20
2, 7, 6
7, 2, 1
5, 4, 2
1, 0, 2
0, 2, 3
7, 4, 0
8, 3, 3
4, 8, 9
