self, opp, fightsavoided
4, 0, 6
5, 1, 2
5, 8, 5
2, 3, 4
8, 1, 9
4, 1, 6
3, 5, 3
0, 1, 8
9, 5, 6
2, 1, 4
5, 7, 2
3, 6, 7
6, 9, 1
1, 9, 7
0, 9, 4
7, 8, 6
7, 6, 1
4, 7, 4
1, 7, 5
4, 2, 8
6, 3, 8
8, 0, 2
7, 2, 2
0, 2, 12
6, 7, 6
9, 7, 7
3, 2, 4
6, 1, 8
5, 3, 1
7, 3, 9
7, 9, 1
9, 1, 2
7, 4, 1
3, 0, 12
8, 5, 6
9, 6, 4
1, 0, 6
7, 1, 5
9, 0, 3
0, 8, 0
1, 2, 4
1, 4, 4
0, 3, 5
2, 6, 3
1, 5, 6
3, 1, 6
0, 5, 3
5, 6, 5
7, 0, 3
8, 9, 2
3, 9, 1
8, 3, 5
8, 6, 1
6, 0, 8
6, 2, 13
2, 0, 6
5, 9, 0
9, 3, 4
4, 8, 11
5, 2, 4
5, 0, 3
1, 3, 5
8, 7, 3
4, 9, 4
4, 5, 11
5, 4, 1
2, 9, 0
0, 4, 11
4, 3, 4
0, 7, 6
8, 2, 4
6, 5, 9
0, 6, 4
9, 4, 5
9, 8, 8
9, 2, 11
3, 8, 5
2, 4, 1
2, 8, 8
1, 6, 8
3, 4, 5
2, 7, 1
7, 5, 4
6, 4, 4
1, 8, 7
2, 5, 7
8, 4, 4
6, 8, 5
3, 7, 4
4, 6, 7
