winner, loser, victorycount
1, 4, 8
8, 2, 0
3, 6, 0
8, 0, 7
4, 7, 0
4, 6, 0
7, 2, 0
5, 1, 9
6, 1, 8
3, 5, 0
6, 3, 10
7, 6, 1
3, 9, 7
8, 3, 17
5, 9, 13
3, 0, 0
3, 8, 0
6, 2, 0
2, 0, 5
5, 0, 8
2, 8, 4
1, 7, 0
8, 6, 12
1, 8, 0
7, 5, 0
3, 7, 0
0, 8, 0
1, 3, 6
5, 7, 10
0, 2, 0
5, 3, 16
9, 5, 0
0, 5, 0
9, 2, 0
9, 7, 0
9, 1, 0
2, 6, 12
2, 4, 9
0, 1, 11
8, 7, 6
8, 4, 13
6, 7, 5
4, 0, 0
0, 7, 4
8, 5, 0
8, 9, 20
9, 3, 0
0, 6, 5
2, 5, 5
7, 1, 10
7, 3, 9
7, 9, 13
3, 1, 6
6, 0, 4
1, 5, 0
0, 3, 7
7, 8, 0
4, 8, 0
9, 6, 0
1, 6, 0
3, 2, 0
9, 0, 0
4, 3, 0
3, 4, 7
2, 1, 20
9, 8, 0
2, 3, 12
6, 8, 0
2, 9, 15
5, 6, 11
5, 8, 5
7, 0, 2
1, 9, 8
0, 4, 8
0, 9, 10
4, 2, 0
9, 4, 0
2, 7, 7
6, 4, 15
8, 1, 9
6, 9, 13
1, 2, 0
5, 2, 3
6, 5, 0
1, 0, 0
5, 4, 9
7, 4, 10
4, 1, 0
4, 9, 6
4, 5, 0
