approaching, opponent, attackcount
0, 6, 3
1, 4, 3
8, 0, 2
3, 2, 3
2, 3, 9
0, 3, 4
7, 8, 0
9, 2, 2
2, 9, 7
6, 8, 4
0, 5, 2
5, 9, 5
0, 8, 6
8, 7, 5
0, 9, 6
5, 1, 2
5, 0, 6
3, 8, 1
3, 6, 2
3, 9, 4
4, 2, 6
0, 2, 4
4, 3, 10
9, 6, 1
6, 0, 14
7, 5, 3
6, 1, 5
3, 4, 2
1, 9, 4
9, 5, 4
4, 1, 7
1, 0, 6
8, 1, 3
2, 7, 6
6, 4, 5
4, 6, 4
1, 6, 2
2, 0, 7
7, 2, 5
9, 0, 4
6, 2, 4
3, 7, 3
1, 7, 7
8, 3, 7
1, 3, 6
3, 5, 7
0, 7, 7
6, 5, 13
9, 1, 1
4, 5, 6
2, 4, 5
1, 8, 7
4, 7, 7
9, 8, 5
7, 6, 5
7, 0, 6
3, 0, 10
5, 8, 6
2, 6, 3
7, 3, 4
8, 2, 1
5, 3, 5
0, 1, 2
7, 4, 4
9, 4, 3
7, 1, 5
1, 5, 7
8, 5, 6
6, 9, 7
2, 5, 7
5, 2, 11
4, 8, 6
3, 1, 1
6, 7, 14
8, 6, 3
7, 9, 7
9, 3, 3
4, 9, 6
1, 2, 6
0, 4, 2
5, 6, 3
2, 8, 4
5, 7, 1
8, 9, 6
2, 1, 8
9, 7, 4
8, 4, 2
6, 3, 10
5, 4, 1
4, 0, 8
