self, opp, fightsavoided
7, 6, 4
1, 3, 10
4, 1, 3
2, 8, 6
8, 3, 7
5, 9, 0
5, 2, 3
4, 5, 4
9, 8, 11
2, 9, 4
1, 7, 3
7, 4, 2
4, 0, 7
7, 9, 7
3, 1, 6
3, 6, 4
0, 2, 5
5, 3, 1
6, 7, 3
0, 1, 4
7, 1, 11
8, 2, 5
9, 2, 0
7, 2, 5
4, 8, 5
3, 4, 5
6, 9, 3
2, 7, 4
9, 1, 6
7, 8, 9
8, 4, 6
2, 5, 9
7, 0, 5
3, 7, 3
3, 0, 8
6, 2, 7
2, 0, 5
2, 1, 6
9, 5, 2
3, 8, 6
4, 2, 2
4, 7, 5
4, 6, 8
6, 3, 7
7, 3, 3
9, 4, 6
2, 6, 7
9, 6, 1
0, 8, 3
1, 4, 6
1, 8, 5
9, 0, 10
1, 2, 1
8, 7, 4
8, 6, 5
9, 7, 7
0, 7, 6
0, 5, 2
5, 8, 3
0, 3, 8
7, 5, 11
5, 6, 0
0, 9, 4
3, 9, 2
8, 0, 7
8, 9, 3
6, 1, 3
5, 1, 7
8, 5, 5
9, 3, 5
5, 4, 2
6, 5, 3
0, 4, 6
3, 2, 2
6, 8, 4
0, 6, 2
4, 3, 5
1, 5, 7
5, 7, 8
1, 0, 7
2, 4, 8
1, 6, 4
5, 0, 10
2, 3, 3
6, 0, 2
8, 1, 4
4, 9, 10
6, 4, 6
3, 5, 3
1, 9, 4
