winner, loser, victorycount
5, 6, 2
8, 1, 5
2, 6, 2
5, 4, 2
8, 7, 6
5, 2, 5
3, 1, 4
0, 2, 11
3, 9, 3
1, 2, 9
8, 5, 5
1, 9, 0
6, 2, 8
6, 9, 2
7, 8, 3
6, 8, 3
4, 0, 4
3, 6, 3
3, 8, 4
6, 5, 3
6, 3, 6
7, 6, 5
7, 2, 6
3, 5, 2
6, 4, 3
5, 9, 1
1, 7, 6
5, 7, 2
3, 2, 7
0, 4, 3
9, 8, 11
4, 5, 6
7, 3, 1
2, 7, 4
9, 0, 4
4, 9, 3
2, 9, 3
5, 3, 4
2, 1, 5
4, 8, 7
7, 5, 8
2, 3, 0
5, 0, 3
8, 0, 1
1, 3, 10
8, 6, 5
1, 5, 9
0, 8, 5
3, 0, 4
2, 8, 2
5, 8, 6
7, 1, 2
6, 0, 3
7, 4, 3
0, 1, 8
9, 3, 11
0, 5, 15
4, 1, 4
2, 4, 2
0, 9, 2
9, 4, 3
1, 6, 9
8, 9, 4
2, 0, 2
8, 3, 3
6, 7, 4
1, 4, 4
5, 1, 6
1, 8, 5
0, 6, 10
4, 3, 6
7, 0, 2
0, 3, 9
2, 5, 4
1, 0, 3
8, 4, 2
9, 6, 4
7, 9, 2
6, 1, 8
4, 2, 14
3, 4, 3
4, 7, 9
9, 1, 1
8, 2, 16
4, 6, 1
0, 7, 7
9, 2, 14
3, 7, 3
9, 7, 8
9, 5, 8
