approaching, opponent, attackcount
2, 9, 12
8, 9, 4
2, 4, 4
6, 7, 0
2, 6, 11
8, 1, 6
6, 5, 4
1, 9, 4
5, 2, 3
9, 7, 5
0, 8, 6
9, 3, 10
5, 8, 3
0, 4, 5
1, 2, 6
8, 2, 1
5, 7, 3
5, 6, 5
8, 6, 8
0, 9, 9
1, 4, 7
8, 7, 3
9, 4, 4
4, 2, 4
0, 7, 2
7, 4, 5
8, 3, 5
3, 8, 7
8, 4, 7
0, 6, 8
6, 3, 4
6, 2, 3
1, 5, 5
3, 7, 2
7, 1, 6
2, 8, 6
7, 9, 4
9, 0, 2
3, 5, 1
8, 0, 4
1, 6, 7
5, 9, 6
1, 0, 0
7, 6, 14
7, 5, 5
2, 1, 2
9, 6, 10
3, 2, 3
9, 2, 5
6, 9, 2
7, 2, 6
4, 0, 6
7, 0, 6
1, 3, 1
5, 3, 8
4, 7, 4
9, 1, 7
4, 5, 6
3, 1, 4
4, 1, 4
4, 3, 10
6, 8, 1
4, 6, 11
3, 6, 2
2, 0, 2
6, 4, 2
5, 1, 2
3, 9, 3
2, 5, 5
5, 0, 3
4, 8, 4
3, 4, 4
2, 3, 10
1, 7, 5
2, 7, 8
1, 8, 8
7, 8, 7
9, 8, 4
8, 5, 4
7, 3, 10
0, 2, 4
4, 9, 11
9, 5, 5
0, 1, 3
5, 4, 4
0, 3, 3
3, 0, 2
0, 5, 5
6, 1, 1
6, 0, 3
