self, opp, fightsavoided
8, 0, 4
2, 8, 5
6, 4, 9
7, 5, 6
9, 8, 8
7, 3, 8
4, 3, 2
1, 5, 8
5, 7, 4
7, 2, 9
4, 8, 6
3, 4, 2
6, 0, 2
6, 3, 6
5, 8, 12
5, 4, 3
9, 6, 8
8, 6, 1
1, 6, 5
2, 3, 0
8, 7, 1
4, 1, 4
1, 8, 10
7, 4, 1
4, 5, 6
1, 0, 6
1, 3, 3
1, 7, 4
6, 9, 4
1, 9, 10
4, 6, 6
5, 1, 1
0, 3, 4
5, 3, 8
3, 6, 4
1, 2, 7
9, 1, 0
3, 5, 6
5, 0, 4
5, 9, 8
5, 6, 2
8, 3, 0
2, 6, 1
2, 7, 2
0, 7, 3
3, 8, 5
7, 1, 5
3, 0, 4
3, 1, 3
2, 4, 5
3, 9, 8
3, 7, 5
2, 1, 2
6, 7, 12
0, 1, 2
6, 1, 4
3, 2, 6
7, 9, 2
9, 0, 9
5, 2, 1
0, 6, 4
2, 0, 7
4, 9, 1
2, 5, 1
2, 9, 4
9, 5, 10
7, 8, 6
6, 2, 3
8, 9, 6
4, 0, 12
8, 4, 7
9, 3, 8
9, 2, 7
9, 7, 10
0, 5, 4
4, 2, 8
4, 7, 5
0, 2, 8
6, 8, 4
8, 1, 3
6, 5, 6
1, 4, 1
0, 4, 7
8, 2, 5
9, 4, 5
7, 0, 0
8, 5, 7
0, 8, 5
0, 9, 3
7, 6, 7
