winner, loser, victorycount
2, 8, 7
9, 4, 5
6, 3, 6
9, 3, 1
1, 7, 1
8, 9, 0
0, 1, 11
0, 6, 1
0, 4, 4
2, 1, 8
8, 7, 2
4, 1, 7
4, 5, 0
5, 9, 2
4, 2, 4
7, 0, 4
1, 9, 4
7, 1, 5
4, 7, 12
7, 9, 0
0, 8, 12
0, 7, 10
6, 7, 9
1, 2, 1
9, 7, 11
7, 3, 1
2, 6, 6
1, 0, 1
4, 0, 1
3, 8, 17
1, 5, 2
9, 6, 1
6, 2, 2
7, 6, 0
1, 6, 1
5, 1, 11
4, 6, 2
8, 1, 7
2, 9, 1
8, 6, 3
2, 4, 2
2, 7, 15
5, 4, 4
6, 5, 4
2, 3, 6
8, 2, 4
1, 8, 5
6, 4, 2
3, 2, 6
7, 8, 3
3, 0, 3
3, 5, 2
9, 5, 3
7, 5, 3
5, 2, 5
1, 3, 0
0, 3, 4
9, 0, 3
3, 9, 2
6, 8, 10
5, 0, 6
9, 1, 8
7, 2, 1
8, 3, 4
0, 2, 3
8, 0, 3
0, 5, 2
4, 3, 4
2, 5, 3
5, 7, 26
6, 1, 14
0, 9, 5
7, 4, 1
5, 6, 2
3, 6, 0
9, 2, 9
3, 1, 14
8, 4, 2
6, 9, 5
6, 0, 9
3, 4, 8
4, 8, 4
8, 5, 2
3, 7, 16
4, 9, 5
2, 0, 2
1, 4, 3
5, 8, 11
5, 3, 7
9, 8, 2
