approaching, opponent, attackcount
1, 3, 6
7, 4, 4
1, 5, 4
8, 7, 4
1, 0, 9
0, 3, 9
2, 8, 3
9, 5, 6
9, 2, 7
0, 9, 2
3, 4, 8
3, 5, 3
1, 9, 4
0, 5, 7
1, 2, 4
3, 1, 5
5, 7, 6
4, 6, 3
1, 7, 4
8, 6, 9
0, 1, 4
2, 7, 3
8, 3, 5
6, 2, 7
1, 4, 1
3, 7, 3
7, 1, 3
0, 8, 6
6, 0, 6
9, 6, 5
6, 1, 7
6, 4, 2
2, 5, 7
9, 0, 3
3, 2, 10
3, 6, 6
5, 6, 4
2, 1, 4
9, 3, 9
6, 7, 5
8, 1, 2
8, 9, 8
0, 2, 7
5, 1, 2
9, 4, 3
5, 9, 3
6, 8, 4
9, 8, 5
6, 9, 2
7, 0, 3
4, 8, 6
3, 0, 5
0, 6, 4
8, 5, 5
7, 5, 3
5, 3, 5
2, 4, 5
4, 7, 3
0, 4, 4
4, 3, 4
3, 8, 10
8, 2, 3
1, 8, 6
7, 3, 4
7, 6, 3
3, 9, 4
5, 4, 3
4, 2, 6
2, 3, 5
9, 7, 2
6, 5, 7
2, 0, 6
2, 9, 5
5, 0, 4
9, 1, 9
8, 4, 6
7, 9, 7
5, 2, 7
5, 8, 7
7, 8, 4
2, 6, 3
4, 1, 5
4, 0, 1
1, 6, 4
8, 0, 9
6, 3, 12
7, 2, 4
4, 9, 5
4, 5, 4
0, 7, 5
