self, opp, fightsavoided
5, 9, 1
5, 6, 3
5, 3, 9
8, 4, 0
8, 2, 6
3, 5, 19
8, 1, 0
4, 7, 2
0, 4, 0
6, 9, 1
5, 4, 0
0, 8, 3
3, 8, 4
7, 6, 8
4, 8, 9
2, 9, 0
8, 3, 4
6, 1, 0
1, 2, 8
6, 7, 3
6, 4, 0
9, 8, 2
1, 8, 2
0, 9, 2
7, 8, 2
3, 6, 9
5, 2, 8
2, 6, 13
7, 9, 1
7, 5, 5
0, 2, 5
0, 1, 0
7, 2, 6
3, 4, 0
2, 3, 8
0, 5, 16
6, 5, 20
0, 3, 8
7, 3, 11
4, 3, 1
1, 0, 5
9, 1, 0
2, 5, 9
1, 6, 8
8, 7, 2
2, 8, 3
6, 2, 10
3, 1, 0
5, 7, 0
4, 2, 11
9, 5, 17
1, 7, 2
8, 6, 7
9, 3, 10
9, 2, 8
2, 1, 0
3, 7, 4
1, 3, 9
4, 1, 0
8, 9, 3
8, 5, 18
4, 5, 16
5, 1, 0
2, 7, 2
4, 0, 6
1, 4, 0
4, 6, 1
7, 0, 4
6, 3, 6
2, 0, 7
5, 0, 5
9, 0, 3
1, 9, 4
9, 4, 0
7, 4, 0
3, 9, 5
7, 1, 0
8, 0, 7
1, 5, 9
9, 7, 3
0, 6, 11
3, 2, 7
0, 7, 4
2, 4, 0
6, 0, 2
6, 8, 5
9, 6, 2
5, 8, 7
4, 9, 1
3, 0, 8
