winner, loser, victorycount
1, 6, 10
2, 0, 12
7, 0, 0
3, 6, 12
6, 1, 0
1, 7, 8
0, 4, 0
3, 2, 11
0, 3, 0
5, 4, 8
0, 5, 0
7, 9, 11
0, 7, 12
8, 1, 10
4, 1, 4
3, 1, 8
5, 7, 14
6, 8, 0
2, 8, 0
2, 7, 11
5, 0, 7
6, 7, 7
0, 1, 0
9, 3, 0
9, 7, 6
3, 5, 12
0, 8, 0
6, 4, 0
9, 1, 0
3, 8, 2
2, 3, 0
5, 3, 0
6, 9, 16
9, 2, 0
5, 8, 0
8, 3, 2
8, 9, 17
2, 5, 0
7, 8, 0
4, 7, 5
1, 0, 8
4, 5, 0
1, 5, 0
9, 8, 0
3, 9, 6
9, 6, 0
5, 9, 14
5, 2, 6
3, 7, 14
8, 5, 7
7, 4, 0
7, 5, 0
6, 2, 5
0, 9, 7
4, 8, 0
9, 4, 0
1, 8, 0
6, 3, 0
6, 5, 0
2, 6, 4
9, 0, 0
3, 4, 8
1, 2, 11
0, 6, 0
3, 0, 13
6, 0, 16
8, 4, 14
7, 3, 0
5, 1, 9
0, 2, 0
2, 1, 0
1, 3, 0
8, 2, 8
4, 9, 12
4, 2, 8
8, 0, 10
7, 1, 0
8, 6, 7
4, 3, 0
1, 4, 6
7, 6, 0
1, 9, 11
4, 0, 10
5, 6, 8
7, 2, 0
2, 9, 6
2, 4, 0
9, 5, 0
8, 7, 7
4, 6, 10
