approaching, opponent, attackcount
6, 3, 6
9, 5, 3
2, 6, 3
5, 4, 4
5, 6, 7
0, 6, 5
2, 7, 3
8, 4, 3
8, 9, 6
3, 1, 3
1, 2, 6
5, 0, 6
7, 9, 5
8, 7, 4
6, 4, 4
7, 8, 2
6, 2, 8
4, 3, 7
6, 9, 13
9, 1, 4
4, 7, 2
0, 7, 7
3, 7, 2
8, 6, 4
2, 0, 11
6, 5, 3
5, 9, 8
4, 1, 2
8, 0, 6
3, 0, 8
1, 9, 10
0, 3, 4
7, 5, 3
0, 1, 1
0, 4, 5
0, 8, 2
7, 1, 2
7, 3, 3
9, 7, 2
4, 8, 2
9, 6, 6
4, 9, 2
6, 0, 1
3, 5, 5
0, 5, 3
5, 1, 4
9, 3, 3
1, 8, 1
6, 1, 6
5, 7, 1
8, 5, 7
3, 9, 7
6, 8, 12
1, 0, 6
1, 7, 4
8, 1, 2
2, 4, 7
5, 3, 6
4, 0, 6
9, 4, 1
3, 2, 4
9, 8, 3
1, 4, 4
5, 8, 2
3, 4, 4
2, 1, 6
2, 9, 11
9, 2, 2
0, 2, 4
6, 7, 3
3, 8, 4
7, 6, 6
4, 2, 9
8, 2, 11
5, 2, 6
3, 6, 6
2, 5, 4
4, 5, 2
7, 0, 14
1, 5, 6
4, 6, 7
7, 4, 4
2, 3, 10
8, 3, 8
9, 0, 11
1, 6, 10
2, 8, 5
1, 3, 1
7, 2, 2
0, 9, 5
