self, opp, fightsavoided
2, 8, 11
4, 3, 0
7, 6, 6
9, 6, 0
5, 3, 0
3, 6, 7
4, 9, 8
8, 0, 3
0, 9, 11
5, 8, 9
8, 7, 5
0, 6, 9
1, 7, 8
7, 3, 0
2, 3, 0
9, 4, 0
3, 0, 3
9, 7, 6
7, 9, 5
0, 3, 0
8, 3, 0
5, 9, 4
6, 2, 6
3, 9, 11
5, 0, 3
4, 2, 6
9, 3, 0
7, 0, 1
1, 4, 0
0, 1, 11
9, 1, 10
4, 6, 3
5, 6, 3
1, 6, 8
9, 5, 3
9, 0, 1
4, 7, 4
0, 5, 7
6, 4, 0
3, 7, 1
0, 2, 6
6, 7, 10
6, 1, 9
3, 2, 4
8, 6, 4
7, 1, 5
8, 2, 8
2, 7, 3
2, 6, 11
0, 7, 4
4, 1, 6
2, 0, 5
2, 4, 0
2, 5, 4
7, 8, 9
8, 9, 9
5, 7, 4
5, 2, 1
8, 1, 2
1, 9, 11
7, 2, 7
7, 5, 8
4, 5, 7
5, 4, 0
6, 9, 7
3, 1, 8
9, 2, 11
6, 5, 3
1, 2, 5
0, 4, 0
0, 8, 12
7, 4, 0
6, 8, 1
1, 3, 0
1, 5, 4
1, 0, 2
8, 5, 9
3, 5, 11
4, 8, 6
2, 9, 9
5, 1, 9
2, 1, 13
9, 8, 5
8, 4, 0
6, 3, 0
1, 8, 6
3, 8, 9
3, 4, 0
6, 0, 8
4, 0, 3
