winner, loser, victorycount
1, 6, 4
6, 8, 9
9, 3, 6
7, 6, 3
6, 9, 6
7, 5, 2
2, 6, 2
2, 3, 2
0, 9, 5
6, 5, 6
7, 0, 6
1, 0, 1
8, 6, 9
8, 5, 5
5, 3, 4
3, 7, 8
0, 6, 4
2, 0, 5
1, 4, 7
5, 0, 7
5, 2, 9
7, 9, 5
5, 9, 3
6, 1, 10
7, 3, 4
8, 0, 9
9, 4, 1
1, 8, 6
1, 2, 9
7, 4, 3
4, 5, 4
4, 0, 5
0, 5, 5
9, 8, 3
7, 8, 6
8, 9, 10
2, 4, 5
7, 2, 4
2, 9, 9
8, 2, 8
3, 2, 3
3, 5, 9
5, 8, 9
3, 1, 9
5, 6, 4
3, 0, 7
0, 2, 5
3, 6, 3
9, 6, 7
4, 6, 0
8, 1, 10
0, 3, 7
1, 5, 4
2, 5, 4
9, 0, 2
1, 7, 7
9, 7, 4
4, 9, 2
8, 3, 2
6, 4, 4
3, 4, 4
6, 3, 2
3, 8, 2
5, 1, 7
5, 7, 5
4, 3, 2
8, 7, 8
4, 7, 9
2, 8, 4
6, 7, 2
1, 3, 4
9, 5, 4
2, 1, 4
7, 1, 5
1, 9, 5
4, 2, 6
5, 4, 1
6, 2, 4
4, 1, 6
0, 1, 5
4, 8, 4
0, 4, 10
8, 4, 3
9, 1, 2
9, 2, 4
0, 7, 5
6, 0, 2
2, 7, 4
0, 8, 6
3, 9, 0
