approaching, opponent, attackcount
7, 1, 6
1, 8, 7
2, 3, 6
9, 2, 8
9, 5, 10
1, 5, 5
2, 8, 4
8, 2, 4
5, 6, 5
0, 5, 2
7, 8, 8
9, 3, 4
5, 1, 6
1, 0, 5
4, 2, 3
1, 3, 4
6, 2, 4
8, 0, 4
4, 5, 5
5, 7, 3
7, 5, 5
4, 1, 6
5, 8, 7
8, 9, 8
5, 2, 3
4, 7, 6
0, 9, 6
0, 2, 10
9, 4, 5
0, 8, 9
4, 8, 9
2, 5, 4
9, 6, 2
6, 5, 5
9, 8, 7
3, 1, 2
2, 1, 2
2, 4, 6
4, 6, 4
2, 7, 6
3, 0, 1
7, 4, 3
7, 0, 5
3, 8, 5
8, 7, 10
1, 9, 5
9, 1, 6
4, 9, 2
1, 7, 7
6, 4, 4
2, 9, 5
6, 9, 3
1, 6, 2
5, 4, 11
6, 7, 4
4, 0, 7
8, 3, 1
3, 2, 4
1, 2, 3
4, 3, 0
7, 6, 7
3, 7, 8
0, 7, 8
3, 6, 5
0, 4, 8
5, 3, 5
0, 6, 6
6, 3, 5
7, 3, 3
6, 8, 3
8, 5, 4
6, 0, 5
2, 6, 4
2, 0, 5
0, 3, 1
3, 5, 6
8, 1, 2
9, 0, 4
7, 2, 6
8, 4, 5
6, 1, 4
0, 1, 2
9, 7, 7
7, 9, 3
3, 4, 4
8, 6, 5
5, 0, 5
1, 4, 5
3, 9, 6
5, 9, 6
