self, opp, fightsavoided
1, 2, 16
6, 7, 5
4, 6, 0
0, 9, 4
0, 2, 6
8, 9, 8
8, 4, 6
1, 6, 0
6, 4, 9
9, 8, 9
5, 4, 3
2, 5, 0
0, 5, 0
1, 9, 4
5, 3, 3
1, 4, 7
7, 8, 8
2, 9, 7
7, 4, 6
6, 9, 5
0, 3, 8
9, 2, 7
6, 5, 0
2, 3, 1
0, 8, 6
5, 1, 10
8, 0, 5
7, 5, 0
3, 6, 0
2, 7, 9
2, 4, 4
0, 7, 3
1, 5, 0
0, 4, 8
5, 7, 8
8, 5, 0
6, 0, 2
4, 2, 11
7, 0, 3
8, 2, 8
6, 3, 0
9, 0, 5
3, 1, 11
4, 7, 9
6, 1, 12
3, 4, 7
1, 3, 4
4, 3, 1
5, 8, 3
7, 1, 5
7, 9, 6
5, 0, 0
0, 1, 2
1, 7, 10
8, 7, 2
4, 1, 11
4, 9, 17
5, 2, 7
6, 2, 5
5, 9, 7
2, 1, 8
1, 8, 15
7, 3, 2
7, 2, 12
8, 6, 0
3, 8, 7
2, 8, 2
8, 3, 3
9, 1, 11
3, 2, 15
7, 6, 0
5, 6, 0
9, 3, 1
1, 0, 3
4, 8, 4
4, 5, 0
6, 8, 3
0, 6, 0
2, 0, 2
9, 7, 3
3, 5, 0
9, 6, 0
3, 7, 4
3, 9, 6
3, 0, 3
9, 5, 0
8, 1, 8
2, 6, 0
4, 0, 6
9, 4, 9
