winner, loser, victorycount
8, 9, 4
4, 0, 4
3, 5, 6
6, 1, 5
1, 5, 14
5, 9, 2
5, 1, 2
1, 6, 8
0, 6, 4
9, 7, 3
9, 0, 11
0, 9, 2
6, 4, 1
2, 1, 6
2, 6, 8
8, 3, 9
0, 4, 1
3, 8, 3
5, 2, 2
6, 3, 6
0, 7, 4
3, 1, 3
7, 2, 6
6, 9, 0
3, 0, 4
8, 7, 5
0, 3, 3
9, 1, 3
8, 5, 5
6, 2, 4
2, 4, 2
3, 9, 0
7, 6, 10
7, 5, 10
3, 7, 3
9, 4, 3
4, 2, 3
2, 7, 7
6, 5, 5
9, 5, 12
5, 8, 1
7, 9, 1
7, 0, 4
6, 0, 5
0, 2, 2
2, 9, 5
7, 4, 2
8, 6, 11
0, 8, 0
4, 6, 14
8, 4, 5
7, 3, 4
2, 8, 2
5, 4, 2
3, 2, 3
8, 1, 6
7, 1, 2
4, 7, 4
0, 5, 12
4, 5, 9
8, 2, 2
0, 1, 0
1, 3, 6
5, 6, 3
5, 0, 4
5, 7, 2
2, 3, 6
4, 8, 4
9, 3, 4
9, 6, 11
7, 8, 7
1, 2, 7
1, 9, 5
2, 0, 8
3, 6, 18
4, 3, 9
9, 8, 5
3, 4, 0
4, 9, 7
6, 8, 2
1, 7, 5
1, 8, 10
9, 2, 4
2, 5, 7
1, 4, 3
4, 1, 6
8, 0, 8
1, 0, 7
6, 7, 1
5, 3, 3
