approaching, opponent, attackcount
6, 7, 7
0, 9, 13
3, 9, 13
6, 2, 2
1, 8, 0
8, 2, 4
1, 7, 3
4, 2, 1
8, 5, 12
2, 1, 5
7, 3, 3
8, 6, 6
9, 1, 4
9, 8, 1
2, 0, 1
0, 3, 4
5, 4, 2
6, 0, 0
4, 8, 0
9, 5, 9
3, 8, 2
1, 3, 3
1, 5, 13
8, 4, 8
2, 6, 5
2, 8, 1
6, 4, 5
4, 1, 5
9, 7, 3
5, 8, 2
0, 2, 3
2, 9, 11
3, 1, 3
8, 0, 1
4, 5, 12
7, 9, 12
8, 9, 6
1, 9, 19
3, 0, 2
0, 7, 4
0, 6, 9
2, 3, 5
9, 4, 1
3, 5, 14
0, 4, 3
5, 3, 2
6, 3, 3
3, 7, 3
4, 9, 9
3, 2, 3
1, 4, 2
6, 1, 2
2, 7, 3
1, 0, 1
9, 3, 2
2, 4, 7
5, 9, 17
3, 6, 6
5, 1, 2
5, 6, 5
5, 2, 0
8, 7, 4
9, 0, 2
1, 2, 6
7, 2, 7
6, 5, 12
7, 4, 5
6, 9, 8
9, 2, 6
7, 6, 6
5, 7, 4
2, 5, 12
0, 1, 2
4, 6, 4
7, 1, 3
4, 7, 7
1, 6, 6
8, 3, 0
5, 0, 3
0, 5, 8
8, 1, 6
9, 6, 4
4, 0, 1
0, 8, 1
7, 0, 2
7, 5, 10
4, 3, 4
3, 4, 4
7, 8, 2
6, 8, 2
