self, opp, fightsavoided
9, 4, 8
2, 8, 13
3, 5, 0
4, 0, 5
4, 8, 7
6, 9, 0
2, 5, 0
9, 3, 11
6, 1, 0
7, 0, 9
0, 8, 5
4, 7, 11
1, 8, 8
9, 2, 7
1, 5, 0
9, 1, 0
9, 8, 7
1, 6, 4
7, 5, 0
3, 8, 5
3, 0, 5
2, 4, 8
7, 2, 4
8, 4, 4
2, 6, 4
9, 0, 7
5, 1, 0
4, 3, 6
1, 7, 7
1, 3, 4
6, 5, 0
8, 9, 0
0, 3, 2
8, 2, 11
6, 2, 8
5, 8, 8
7, 1, 0
1, 4, 6
6, 3, 10
3, 2, 7
1, 9, 0
3, 1, 0
4, 6, 5
6, 8, 4
7, 8, 7
8, 5, 0
0, 4, 6
8, 0, 7
7, 6, 9
2, 1, 0
4, 2, 5
2, 9, 0
8, 6, 4
6, 4, 7
9, 6, 5
0, 7, 4
1, 2, 14
7, 9, 0
6, 7, 6
2, 3, 9
6, 0, 5
5, 7, 12
0, 1, 0
5, 0, 9
8, 1, 0
5, 3, 6
9, 5, 0
7, 4, 7
7, 3, 12
4, 1, 0
5, 6, 6
5, 9, 0
5, 4, 6
2, 7, 10
0, 5, 0
3, 4, 7
4, 5, 0
9, 7, 8
0, 6, 5
4, 9, 0
0, 2, 6
5, 2, 8
3, 6, 5
3, 7, 12
2, 0, 6
0, 9, 0
3, 9, 0
1, 0, 13
8, 7, 7
8, 3, 7
