winner, loser, victorycount
7, 8, 14
1, 5, 10
8, 6, 0
4, 3, 5
4, 8, 13
8, 0, 0
6, 9, 12
6, 4, 0
0, 4, 0
9, 5, 13
1, 3, 0
7, 1, 3
1, 8, 19
3, 1, 11
6, 8, 10
6, 1, 6
2, 5, 3
3, 9, 7
0, 6, 0
7, 4, 0
3, 0, 12
1, 2, 5
4, 1, 5
6, 7, 10
9, 2, 8
0, 3, 0
1, 6, 0
3, 7, 9
5, 6, 0
1, 7, 2
0, 8, 14
9, 1, 7
9, 8, 15
2, 7, 2
5, 3, 0
3, 4, 1
0, 2, 0
4, 5, 11
2, 3, 0
5, 0, 6
7, 2, 5
1, 0, 14
9, 3, 0
4, 9, 3
8, 4, 0
7, 0, 13
7, 5, 8
9, 7, 4
5, 4, 0
6, 0, 13
3, 2, 8
9, 0, 13
2, 1, 2
7, 9, 0
8, 1, 0
4, 7, 6
6, 2, 16
2, 8, 14
5, 1, 1
2, 0, 12
7, 6, 0
1, 9, 0
4, 6, 5
3, 8, 17
5, 9, 0
8, 3, 0
6, 5, 6
0, 5, 0
8, 5, 0
8, 7, 0
2, 4, 0
3, 5, 6
6, 3, 0
9, 4, 0
8, 2, 0
2, 9, 0
2, 6, 0
5, 7, 5
9, 6, 0
0, 7, 0
0, 9, 0
3, 6, 6
7, 3, 0
4, 2, 4
0, 1, 0
8, 9, 0
1, 4, 0
5, 2, 7
5, 8, 21
4, 0, 8
