approaching, opponent, attackcount
3, 2, 2
7, 9, 1
2, 1, 1
0, 8, 0
4, 3, 8
6, 5, 2
8, 1, 10
0, 4, 13
3, 8, 2
2, 6, 3
0, 3, 12
0, 1, 3
9, 7, 2
2, 7, 4
0, 6, 11
5, 6, 7
3, 1, 9
5, 3, 9
6, 0, 5
9, 8, 1
6, 8, 4
6, 7, 7
8, 7, 1
2, 9, 2
9, 5, 5
2, 3, 13
7, 3, 10
1, 8, 0
0, 7, 5
2, 5, 3
7, 8, 5
8, 3, 10
5, 2, 1
1, 2, 0
0, 2, 1
7, 0, 4
4, 9, 3
4, 7, 1
1, 7, 2
5, 1, 5
4, 1, 4
7, 1, 8
8, 9, 3
7, 6, 3
4, 5, 2
5, 9, 4
8, 4, 11
5, 8, 2
5, 7, 1
4, 6, 2
6, 1, 5
7, 5, 7
3, 0, 2
6, 4, 9
1, 9, 7
8, 5, 3
6, 9, 1
2, 8, 1
3, 9, 3
9, 1, 7
9, 4, 18
1, 5, 6
2, 0, 5
7, 4, 12
3, 7, 0
1, 6, 6
4, 8, 0
4, 0, 3
1, 3, 15
8, 0, 3
4, 2, 1
5, 0, 4
9, 3, 7
9, 0, 9
2, 4, 14
8, 6, 4
1, 4, 10
5, 4, 9
3, 5, 4
9, 6, 4
9, 2, 2
8, 2, 2
1, 0, 11
0, 5, 4
0, 9, 0
6, 3, 6
7, 2, 1
3, 4, 10
3, 6, 7
6, 2, 1
