self, opp, fightsavoided
9, 5, 4
5, 7, 0
5, 9, 5
2, 1, 6
5, 0, 6
7, 2, 2
7, 6, 5
3, 0, 5
6, 1, 12
0, 2, 6
7, 9, 5
9, 0, 10
1, 4, 8
7, 8, 2
2, 9, 4
4, 7, 0
7, 0, 10
0, 4, 12
1, 7, 0
8, 7, 0
4, 5, 8
3, 2, 10
9, 7, 0
3, 1, 3
4, 9, 1
8, 9, 4
1, 9, 5
2, 7, 0
3, 5, 9
5, 6, 5
9, 6, 3
5, 4, 12
3, 6, 1
2, 0, 2
2, 4, 5
4, 1, 3
1, 8, 7
2, 8, 2
6, 9, 2
6, 5, 4
3, 8, 3
1, 5, 9
6, 8, 7
8, 6, 4
4, 3, 6
6, 7, 0
9, 2, 2
3, 7, 0
4, 2, 7
0, 9, 4
9, 3, 4
7, 3, 4
5, 2, 8
8, 2, 3
2, 5, 3
7, 4, 6
8, 0, 5
6, 3, 11
0, 1, 2
0, 8, 7
8, 4, 5
0, 6, 5
7, 1, 7
1, 0, 4
8, 5, 5
2, 3, 6
6, 4, 4
2, 6, 1
5, 1, 4
1, 2, 10
9, 4, 7
5, 8, 14
6, 0, 2
4, 8, 6
1, 6, 4
4, 0, 4
9, 8, 6
0, 7, 0
8, 1, 8
4, 6, 4
3, 4, 7
8, 3, 4
7, 5, 12
6, 2, 3
1, 3, 11
5, 3, 4
3, 9, 3
0, 3, 6
9, 1, 7
0, 5, 4
