winner, loser, victorycount
1, 5, 5
9, 2, 3
5, 2, 5
7, 1, 1
7, 3, 1
0, 8, 4
3, 2, 1
6, 7, 21
7, 0, 2
4, 6, 2
6, 2, 2
2, 0, 2
6, 8, 2
4, 2, 3
3, 5, 3
1, 0, 3
5, 3, 3
8, 2, 1
8, 1, 3
3, 4, 0
9, 7, 22
9, 3, 2
8, 0, 6
1, 7, 21
5, 9, 12
2, 3, 3
9, 0, 8
2, 7, 14
3, 7, 17
8, 6, 3
1, 8, 8
7, 2, 4
9, 6, 4
4, 9, 5
1, 9, 7
1, 3, 2
1, 6, 8
4, 3, 2
0, 1, 4
8, 9, 5
8, 5, 3
2, 4, 5
7, 4, 2
4, 8, 1
7, 9, 9
0, 2, 1
5, 4, 4
4, 0, 4
2, 6, 5
4, 7, 15
8, 4, 2
0, 3, 2
5, 6, 2
7, 6, 5
4, 5, 7
6, 5, 3
9, 5, 2
7, 5, 4
5, 0, 2
8, 7, 17
9, 1, 2
1, 2, 5
2, 8, 4
9, 4, 3
3, 0, 2
3, 8, 3
2, 9, 3
6, 3, 1
5, 7, 15
5, 8, 5
7, 8, 2
2, 5, 3
0, 7, 15
6, 1, 3
0, 5, 2
1, 4, 6
5, 1, 2
6, 4, 4
0, 9, 6
3, 9, 6
2, 1, 0
3, 1, 0
6, 9, 7
0, 6, 12
8, 3, 2
4, 1, 3
0, 4, 2
6, 0, 4
9, 8, 0
3, 6, 9
