approaching, opponent, attackcount
3, 2, 2
3, 7, 3
9, 4, 5
5, 3, 9
8, 0, 6
4, 6, 15
6, 5, 11
2, 5, 5
2, 0, 2
9, 7, 3
6, 2, 1
2, 3, 10
9, 5, 19
8, 6, 8
5, 8, 2
4, 8, 3
5, 6, 7
9, 2, 3
6, 3, 10
7, 2, 2
7, 9, 4
8, 2, 6
1, 9, 4
4, 5, 9
1, 7, 3
4, 2, 6
1, 4, 3
8, 1, 1
6, 8, 2
2, 1, 4
7, 3, 8
8, 9, 4
5, 7, 6
3, 4, 2
0, 2, 6
2, 4, 3
9, 0, 4
0, 9, 3
7, 4, 5
7, 1, 3
3, 8, 4
0, 7, 5
0, 8, 3
6, 0, 2
5, 9, 7
8, 4, 1
0, 3, 5
9, 8, 3
4, 9, 2
6, 1, 5
6, 7, 3
4, 7, 3
4, 1, 5
8, 5, 14
3, 1, 1
4, 3, 11
7, 5, 11
0, 6, 4
7, 6, 8
2, 8, 0
1, 6, 6
4, 0, 0
3, 5, 5
7, 8, 3
1, 2, 3
7, 0, 3
1, 8, 4
6, 9, 6
5, 1, 3
9, 3, 10
1, 3, 12
1, 5, 11
0, 1, 4
3, 6, 7
9, 1, 2
9, 6, 12
3, 9, 3
2, 6, 2
8, 3, 4
0, 5, 9
5, 2, 2
6, 4, 6
0, 4, 3
8, 7, 1
3, 0, 5
5, 4, 1
1, 0, 3
2, 9, 5
5, 0, 3
2, 7, 3
