self, opp, fightsavoided
6, 5, 10
6, 7, 4
7, 8, 5
9, 5, 4
6, 4, 9
9, 1, 5
4, 0, 3
0, 8, 8
4, 3, 4
3, 8, 5
1, 9, 6
7, 3, 3
0, 4, 10
8, 9, 4
4, 1, 9
8, 4, 9
5, 6, 4
7, 0, 4
9, 6, 5
1, 5, 6
7, 6, 6
8, 6, 1
3, 5, 3
3, 4, 3
3, 2, 3
6, 2, 5
8, 7, 4
2, 8, 11
2, 5, 2
1, 8, 7
3, 9, 4
0, 3, 1
6, 1, 4
4, 9, 8
9, 0, 7
3, 1, 7
0, 7, 4
0, 5, 2
2, 9, 5
7, 1, 7
2, 7, 5
2, 4, 4
1, 2, 1
6, 0, 4
6, 3, 3
1, 6, 4
9, 8, 5
2, 1, 3
6, 9, 4
7, 2, 8
5, 3, 3
5, 0, 4
4, 8, 6
2, 0, 5
5, 1, 7
0, 1, 6
9, 7, 3
9, 2, 7
3, 7, 2
1, 3, 3
5, 4, 8
7, 5, 3
5, 9, 9
4, 5, 4
4, 7, 6
6, 8, 3
2, 6, 5
8, 3, 3
5, 7, 2
5, 2, 4
4, 2, 4
3, 0, 4
1, 0, 2
8, 5, 7
3, 6, 3
2, 3, 4
8, 0, 4
9, 4, 3
0, 6, 3
7, 4, 7
5, 8, 4
8, 1, 7
1, 7, 9
4, 6, 1
1, 4, 13
9, 3, 6
0, 9, 4
7, 9, 3
0, 2, 10
8, 2, 7
