winner, loser, victorycount
2, 4, 22
2, 0, 1
6, 0, 0
5, 4, 10
7, 3, 6
2, 8, 3
7, 9, 3
7, 6, 0
2, 9, 5
8, 4, 10
0, 7, 4
2, 3, 2
9, 1, 3
6, 7, 4
9, 8, 1
1, 7, 2
0, 4, 15
0, 9, 7
6, 4, 24
2, 7, 6
1, 8, 2
2, 1, 1
5, 2, 4
6, 9, 12
3, 9, 2
7, 8, 4
5, 3, 9
0, 5, 7
4, 1, 1
1, 0, 6
3, 7, 5
1, 4, 18
9, 4, 11
2, 6, 0
5, 8, 3
4, 8, 1
3, 6, 6
6, 2, 1
1, 6, 2
7, 1, 2
3, 2, 5
9, 0, 3
8, 7, 2
9, 7, 1
7, 2, 3
3, 0, 4
5, 0, 2
8, 5, 3
0, 2, 1
4, 0, 6
9, 6, 6
4, 9, 5
1, 9, 6
3, 4, 17
1, 5, 6
8, 1, 3
0, 1, 2
0, 8, 5
9, 2, 3
3, 8, 5
4, 6, 5
3, 5, 6
4, 3, 2
7, 0, 5
5, 1, 3
4, 5, 2
6, 8, 4
1, 3, 10
9, 5, 1
1, 2, 5
4, 7, 3
4, 2, 3
2, 5, 3
8, 9, 4
8, 2, 3
8, 0, 3
0, 6, 7
7, 4, 15
0, 3, 5
6, 3, 5
5, 9, 6
6, 5, 7
5, 7, 2
8, 3, 3
7, 5, 4
6, 1, 4
5, 6, 3
9, 3, 2
8, 6, 9
3, 1, 3
