approaching, opponent, attackcount
6, 1, 12
4, 2, 4
9, 0, 14
3, 7, 6
7, 5, 1
4, 8, 3
5, 0, 1
0, 8, 3
7, 8, 3
5, 4, 3
0, 9, 11
1, 9, 15
9, 6, 13
6, 2, 8
4, 1, 1
3, 2, 3
0, 2, 0
7, 3, 1
2, 7, 3
2, 4, 0
0, 7, 3
6, 4, 6
2, 8, 6
6, 0, 2
2, 1, 2
7, 6, 5
9, 3, 4
8, 5, 3
6, 5, 6
6, 8, 13
3, 8, 2
1, 3, 7
8, 1, 4
2, 9, 6
6, 3, 12
0, 5, 4
8, 3, 1
8, 2, 6
7, 4, 1
4, 9, 9
8, 6, 5
0, 1, 6
3, 0, 2
5, 7, 1
1, 7, 2
1, 4, 2
8, 7, 0
4, 6, 4
7, 0, 2
3, 9, 7
5, 3, 4
5, 6, 2
4, 7, 5
8, 4, 2
9, 2, 4
5, 2, 3
8, 9, 6
3, 1, 5
9, 4, 7
3, 4, 5
1, 8, 5
9, 5, 15
8, 0, 2
4, 5, 3
5, 9, 8
6, 9, 14
3, 6, 6
2, 3, 6
7, 1, 2
7, 9, 9
0, 4, 4
2, 6, 8
9, 8, 6
2, 0, 3
6, 7, 5
9, 7, 6
4, 0, 3
0, 6, 4
1, 6, 15
4, 3, 4
9, 1, 13
7, 2, 1
1, 5, 4
5, 1, 6
3, 5, 2
1, 2, 4
2, 5, 5
1, 0, 2
0, 3, 3
5, 8, 1
