self, opp, fightsavoided
4, 9, 8
3, 4, 7
9, 6, 3
4, 2, 11
9, 1, 3
2, 9, 0
1, 7, 2
6, 5, 6
7, 0, 6
3, 7, 7
7, 2, 10
0, 5, 6
6, 1, 7
1, 2, 14
0, 2, 11
1, 0, 5
4, 0, 3
1, 3, 10
2, 4, 0
9, 2, 7
7, 5, 6
3, 9, 9
9, 8, 9
7, 6, 6
4, 5, 2
5, 4, 5
7, 8, 5
5, 0, 10
7, 1, 5
3, 6, 3
1, 9, 3
8, 0, 6
5, 8, 8
3, 5, 1
2, 6, 0
0, 9, 1
4, 8, 7
7, 9, 7
6, 4, 5
6, 9, 5
3, 0, 9
0, 3, 5
0, 7, 6
1, 6, 5
9, 3, 3
7, 3, 2
6, 2, 10
8, 3, 4
8, 7, 5
8, 6, 4
0, 6, 6
1, 5, 5
6, 0, 4
8, 4, 3
4, 3, 5
9, 7, 5
6, 8, 4
2, 7, 0
2, 5, 0
2, 8, 0
4, 7, 3
4, 1, 1
8, 5, 7
0, 1, 8
2, 0, 0
4, 6, 10
9, 4, 6
2, 3, 0
7, 4, 1
6, 7, 5
3, 8, 6
5, 7, 7
9, 0, 2
1, 4, 2
5, 1, 9
3, 1, 3
8, 2, 7
8, 1, 8
9, 5, 1
5, 3, 4
2, 1, 0
5, 6, 3
1, 8, 3
3, 2, 10
5, 2, 11
5, 9, 3
0, 4, 2
0, 8, 8
8, 9, 4
6, 3, 2
