winner, loser, victorycount
4, 9, 0
0, 1, 4
9, 2, 12
0, 8, 4
5, 1, 12
6, 3, 7
8, 3, 8
8, 2, 4
3, 2, 0
8, 0, 0
9, 3, 14
7, 1, 9
2, 6, 0
3, 9, 0
1, 8, 0
2, 7, 0
8, 1, 6
3, 8, 0
2, 3, 5
1, 0, 0
7, 4, 5
3, 4, 2
0, 9, 0
6, 7, 3
7, 8, 8
9, 5, 17
9, 1, 11
5, 2, 18
0, 3, 6
0, 2, 4
3, 6, 0
5, 3, 14
4, 0, 0
8, 6, 0
5, 6, 17
4, 8, 0
3, 7, 0
6, 8, 14
1, 4, 3
3, 1, 2
9, 6, 12
2, 5, 0
4, 2, 0
1, 9, 0
3, 0, 0
5, 8, 17
2, 9, 0
7, 2, 7
8, 7, 0
8, 5, 0
6, 2, 2
5, 7, 19
8, 4, 4
6, 9, 0
0, 7, 13
6, 4, 7
7, 6, 0
4, 1, 0
8, 9, 0
2, 8, 3
0, 6, 5
9, 0, 22
2, 4, 2
7, 0, 0
4, 3, 0
9, 8, 6
9, 7, 25
4, 6, 0
6, 1, 7
1, 2, 0
7, 9, 0
6, 0, 6
4, 5, 0
2, 1, 6
5, 0, 20
9, 4, 23
3, 5, 0
5, 4, 8
0, 5, 0
4, 7, 0
0, 4, 8
1, 5, 0
5, 9, 16
6, 5, 0
1, 3, 1
7, 3, 2
2, 0, 0
1, 6, 0
7, 5, 0
1, 7, 0
