approaching, opponent, attackcount
7, 5, 10
6, 1, 2
3, 7, 6
4, 0, 7
9, 4, 7
8, 5, 4
0, 4, 6
2, 4, 2
5, 8, 3
0, 7, 2
1, 3, 5
3, 8, 13
5, 9, 6
7, 3, 6
3, 1, 7
1, 7, 5
9, 0, 3
7, 6, 2
5, 3, 8
9, 2, 5
2, 9, 4
7, 8, 4
0, 2, 7
3, 5, 7
5, 2, 5
6, 9, 4
1, 6, 2
6, 7, 0
2, 5, 7
9, 5, 1
7, 0, 5
4, 5, 3
3, 4, 10
2, 8, 3
9, 3, 8
1, 8, 4
2, 1, 5
6, 8, 2
6, 4, 1
8, 6, 6
3, 9, 19
5, 6, 3
3, 2, 7
5, 4, 5
0, 3, 4
7, 4, 1
8, 2, 8
8, 9, 4
9, 8, 5
4, 6, 4
2, 0, 1
1, 2, 2
0, 1, 2
6, 0, 5
1, 5, 3
2, 3, 7
2, 6, 4
6, 3, 2
4, 9, 7
5, 0, 1
7, 1, 3
6, 2, 1
4, 3, 9
0, 5, 4
4, 1, 8
7, 2, 9
1, 9, 3
0, 6, 6
3, 6, 9
8, 1, 3
8, 4, 7
4, 2, 3
0, 8, 1
6, 5, 3
4, 7, 3
8, 0, 2
0, 9, 3
1, 0, 3
2, 7, 8
8, 3, 7
5, 1, 5
1, 4, 5
8, 7, 6
5, 7, 5
9, 6, 3
9, 1, 4
9, 7, 9
4, 8, 6
3, 0, 11
7, 9, 10
