self, opp, fightsavoided
9, 8, 8
3, 9, 14
5, 6, 4
4, 2, 2
4, 3, 3
3, 6, 7
6, 8, 5
8, 9, 3
7, 5, 0
0, 2, 2
0, 7, 7
6, 4, 4
2, 7, 10
6, 5, 9
8, 2, 4
4, 7, 9
1, 9, 0
1, 2, 0
7, 8, 0
5, 8, 5
3, 2, 6
4, 6, 3
6, 1, 16
7, 0, 0
1, 8, 0
5, 3, 2
7, 2, 0
4, 0, 6
8, 7, 10
9, 1, 7
5, 7, 12
1, 4, 0
0, 1, 9
8, 3, 7
0, 5, 5
4, 5, 1
0, 6, 6
4, 1, 10
3, 1, 11
6, 2, 6
9, 3, 7
3, 5, 6
6, 9, 6
8, 6, 9
2, 3, 4
2, 5, 4
2, 4, 2
1, 5, 0
7, 4, 0
0, 8, 5
1, 0, 0
2, 8, 3
0, 3, 4
0, 9, 6
3, 7, 7
0, 4, 8
2, 1, 7
3, 8, 2
7, 6, 0
7, 3, 0
8, 4, 5
7, 9, 0
5, 9, 4
2, 0, 9
9, 0, 7
5, 1, 16
3, 0, 6
5, 4, 5
1, 7, 0
2, 6, 12
6, 7, 6
9, 5, 3
2, 9, 5
8, 5, 5
8, 0, 5
8, 1, 5
5, 2, 5
1, 3, 0
4, 9, 4
9, 4, 6
4, 8, 1
6, 3, 4
9, 2, 3
3, 4, 8
5, 0, 7
9, 6, 8
1, 6, 0
6, 0, 7
7, 1, 0
9, 7, 11
