winner, loser, victorycount
8, 0, 9
3, 5, 8
4, 8, 2
8, 5, 9
4, 1, 4
9, 7, 7
6, 2, 3
2, 4, 5
1, 3, 3
5, 6, 2
7, 9, 1
9, 0, 7
1, 7, 2
0, 5, 3
4, 6, 7
0, 3, 4
5, 2, 4
6, 8, 3
5, 7, 3
4, 7, 6
6, 0, 4
1, 4, 3
9, 8, 6
8, 3, 14
8, 4, 4
3, 9, 14
7, 2, 5
8, 7, 6
8, 1, 7
9, 4, 7
9, 6, 4
8, 6, 8
2, 7, 4
7, 3, 3
0, 2, 1
2, 9, 6
1, 6, 3
0, 9, 3
3, 1, 5
1, 2, 3
9, 1, 1
5, 4, 3
7, 8, 2
7, 1, 2
8, 9, 11
1, 8, 4
7, 4, 6
5, 3, 2
3, 7, 9
4, 3, 4
8, 2, 7
0, 8, 7
4, 9, 5
6, 5, 2
5, 8, 6
6, 1, 2
9, 3, 8
9, 2, 13
4, 5, 1
1, 5, 4
6, 3, 5
4, 2, 4
5, 1, 5
0, 6, 7
6, 9, 6
2, 6, 5
2, 1, 0
3, 8, 10
7, 0, 2
9, 5, 7
0, 1, 0
2, 3, 11
7, 6, 5
0, 4, 3
4, 0, 4
3, 6, 5
3, 4, 7
3, 2, 13
7, 5, 2
1, 0, 3
5, 9, 5
2, 8, 10
2, 0, 1
2, 5, 9
0, 7, 3
3, 0, 9
5, 0, 4
1, 9, 0
6, 4, 2
6, 7, 2
