approaching, opponent, attackcount
7, 6, 3
6, 1, 10
1, 7, 8
5, 1, 2
0, 6, 12
3, 1, 8
1, 9, 9
2, 7, 5
3, 4, 6
3, 0, 5
0, 9, 3
5, 9, 2
4, 8, 1
3, 9, 2
9, 2, 1
4, 2, 8
3, 5, 8
5, 7, 7
9, 5, 3
6, 9, 11
9, 4, 3
4, 7, 3
6, 2, 5
3, 2, 5
6, 4, 2
8, 1, 3
8, 4, 3
1, 6, 10
9, 8, 2
1, 3, 13
1, 5, 9
7, 2, 3
9, 1, 5
0, 1, 5
2, 5, 1
7, 8, 5
9, 3, 3
6, 0, 10
8, 6, 3
4, 3, 3
0, 4, 10
4, 0, 10
4, 1, 4
6, 3, 7
6, 5, 9
8, 7, 2
7, 9, 1
5, 8, 4
5, 6, 1
1, 2, 6
8, 9, 1
5, 0, 7
5, 2, 2
5, 3, 9
4, 5, 6
2, 1, 6
8, 5, 6
4, 6, 2
6, 7, 5
1, 4, 9
8, 0, 4
0, 5, 3
2, 8, 3
4, 9, 1
0, 3, 9
0, 7, 7
9, 6, 3
2, 9, 4
2, 0, 3
8, 3, 5
8, 2, 1
7, 4, 7
6, 8, 1
7, 1, 6
1, 8, 3
3, 6, 5
7, 0, 4
3, 7, 7
7, 3, 2
3, 8, 3
5, 4, 3
2, 4, 3
2, 3, 1
0, 2, 3
7, 5, 7
1, 0, 16
0, 8, 6
9, 7, 3
9, 0, 7
2, 6, 3
