self, opp, fightsavoided
1, 4, 3
2, 8, 4
7, 3, 6
8, 7, 8
2, 5, 6
2, 3, 5
7, 4, 7
5, 6, 5
1, 9, 4
5, 2, 2
3, 8, 4
3, 9, 6
2, 4, 8
7, 0, 9
1, 2, 2
8, 4, 10
0, 1, 0
4, 2, 7
3, 6, 2
9, 5, 5
4, 3, 3
3, 7, 2
5, 1, 3
5, 4, 2
9, 8, 5
9, 6, 11
9, 0, 14
0, 4, 0
6, 3, 5
2, 0, 13
4, 6, 6
9, 4, 9
6, 2, 6
5, 8, 3
8, 1, 10
6, 1, 1
1, 7, 7
2, 6, 2
8, 0, 3
0, 3, 0
6, 5, 5
3, 1, 9
5, 0, 4
4, 1, 3
9, 2, 4
3, 4, 4
6, 7, 1
4, 7, 14
5, 7, 5
1, 6, 4
6, 9, 5
0, 8, 0
7, 2, 2
1, 3, 6
1, 8, 8
1, 5, 8
5, 9, 2
8, 5, 2
8, 3, 11
7, 8, 3
1, 0, 14
6, 4, 7
0, 6, 0
0, 2, 0
0, 9, 0
9, 3, 6
4, 8, 9
9, 7, 3
2, 1, 4
8, 9, 2
4, 5, 4
7, 5, 8
0, 5, 0
3, 2, 1
7, 1, 6
8, 2, 7
2, 7, 12
3, 5, 2
4, 9, 4
6, 8, 1
9, 1, 6
4, 0, 14
6, 0, 3
3, 0, 4
7, 6, 2
2, 9, 4
0, 7, 0
8, 6, 11
5, 3, 2
7, 9, 6
