winner, loser, victorycount
6, 0, 8
5, 6, 1
8, 1, 2
1, 3, 0
9, 2, 10
1, 9, 1
4, 6, 12
8, 7, 0
3, 1, 4
9, 3, 6
2, 3, 5
6, 7, 8
0, 2, 8
1, 5, 1
2, 9, 3
3, 7, 2
7, 9, 0
0, 3, 9
5, 3, 2
6, 1, 12
5, 8, 1
1, 0, 0
8, 3, 1
1, 4, 0
2, 8, 2
0, 8, 6
0, 4, 4
7, 3, 0
4, 2, 10
8, 4, 1
9, 6, 18
9, 8, 8
6, 8, 17
9, 0, 8
4, 0, 9
0, 1, 9
4, 8, 7
2, 4, 7
1, 8, 4
5, 9, 0
6, 5, 6
0, 9, 4
8, 9, 0
7, 0, 6
9, 1, 13
3, 8, 1
2, 5, 7
7, 1, 3
8, 6, 1
5, 4, 0
9, 7, 10
6, 3, 9
6, 4, 8
1, 2, 2
6, 2, 13
9, 4, 6
0, 6, 9
5, 1, 3
7, 2, 0
4, 7, 6
4, 5, 14
3, 2, 2
3, 6, 6
8, 5, 2
8, 2, 0
1, 7, 2
3, 0, 7
9, 5, 16
5, 2, 1
7, 4, 2
7, 5, 5
7, 8, 3
0, 7, 3
4, 3, 9
2, 0, 4
7, 6, 3
1, 6, 2
2, 1, 3
4, 9, 8
3, 4, 6
0, 5, 7
3, 5, 1
5, 0, 0
2, 7, 4
3, 9, 1
5, 7, 2
4, 1, 9
6, 9, 12
2, 6, 3
8, 0, 0
