approaching, opponent, attackcount
8, 5, 2
1, 4, 1
2, 5, 4
5, 3, 2
8, 2, 4
9, 0, 4
1, 8, 5
5, 0, 2
6, 0, 20
3, 6, 7
3, 5, 8
4, 5, 2
6, 1, 10
4, 1, 1
6, 9, 22
9, 4, 5
2, 9, 1
0, 7, 3
2, 8, 1
5, 4, 0
2, 1, 3
8, 9, 2
0, 8, 2
9, 8, 0
4, 3, 1
8, 6, 3
8, 1, 1
1, 3, 2
3, 4, 8
7, 4, 14
3, 0, 9
2, 4, 0
9, 5, 6
3, 7, 5
5, 6, 2
5, 8, 3
1, 9, 3
1, 5, 3
2, 0, 4
2, 6, 3
4, 9, 3
9, 2, 5
3, 2, 7
0, 2, 1
8, 7, 5
4, 2, 3
0, 6, 4
0, 4, 2
1, 7, 4
6, 5, 9
3, 9, 8
9, 6, 3
9, 3, 4
7, 9, 12
3, 8, 7
8, 4, 4
8, 3, 1
6, 2, 8
2, 3, 3
6, 7, 5
1, 2, 2
1, 0, 1
6, 8, 13
1, 6, 4
0, 5, 1
7, 3, 13
0, 3, 2
5, 9, 2
7, 1, 8
0, 9, 1
7, 2, 11
9, 1, 3
5, 1, 3
5, 7, 6
4, 7, 1
7, 5, 13
7, 0, 14
3, 1, 5
4, 8, 2
6, 3, 18
7, 8, 14
4, 6, 0
5, 2, 2
8, 0, 0
9, 7, 2
2, 7, 2
6, 4, 11
7, 6, 17
4, 0, 2
0, 1, 1
