self, opp, fightsavoided
4, 3, 13
5, 9, 6
4, 6, 9
7, 2, 0
2, 3, 9
5, 3, 7
6, 7, 0
8, 1, 6
8, 0, 10
7, 5, 0
7, 8, 0
5, 7, 9
1, 8, 10
9, 7, 9
4, 7, 13
8, 9, 3
3, 2, 7
0, 1, 0
5, 8, 8
6, 0, 0
7, 9, 0
6, 9, 0
4, 8, 7
1, 6, 4
1, 3, 1
2, 0, 12
4, 2, 9
1, 4, 6
0, 9, 0
2, 4, 8
9, 2, 7
0, 6, 0
6, 2, 0
3, 8, 1
2, 9, 9
9, 4, 6
1, 7, 2
5, 1, 9
3, 6, 11
0, 4, 0
8, 7, 4
0, 8, 0
1, 9, 10
5, 4, 8
5, 6, 7
7, 4, 0
9, 8, 8
5, 2, 5
4, 9, 7
0, 2, 0
2, 8, 9
6, 8, 0
1, 0, 4
4, 0, 9
9, 6, 4
4, 5, 3
8, 6, 0
9, 5, 8
7, 1, 0
7, 3, 0
3, 5, 12
9, 1, 7
8, 3, 2
2, 7, 2
6, 3, 0
2, 5, 10
3, 0, 7
3, 4, 11
8, 2, 4
0, 5, 0
6, 4, 0
3, 1, 8
7, 0, 0
9, 3, 3
2, 1, 3
2, 6, 6
0, 3, 0
6, 1, 0
9, 0, 8
5, 0, 15
8, 5, 0
6, 5, 0
3, 7, 9
1, 5, 9
7, 6, 0
8, 4, 7
4, 1, 12
1, 2, 5
3, 9, 13
0, 7, 0
