winner, loser, victorycount
5, 9, 0
8, 0, 2
8, 4, 6
0, 4, 4
2, 9, 0
3, 0, 11
0, 6, 0
9, 3, 0
7, 1, 12
6, 3, 25
4, 0, 0
5, 8, 5
1, 9, 0
9, 8, 2
6, 7, 17
3, 2, 10
6, 9, 25
2, 3, 0
4, 7, 0
6, 2, 11
4, 5, 0
6, 8, 16
1, 7, 0
7, 6, 5
4, 3, 0
2, 1, 2
2, 6, 0
1, 0, 2
1, 8, 6
0, 2, 0
5, 4, 2
9, 7, 0
2, 5, 2
7, 3, 18
9, 1, 6
9, 2, 6
0, 8, 0
8, 6, 0
3, 1, 7
9, 6, 0
5, 7, 0
3, 8, 8
7, 5, 19
2, 7, 0
3, 7, 0
4, 8, 0
9, 5, 8
8, 3, 0
3, 4, 9
0, 3, 0
4, 6, 0
5, 2, 4
0, 7, 0
1, 2, 3
7, 9, 14
4, 9, 0
0, 5, 0
2, 8, 5
6, 0, 24
3, 9, 12
9, 4, 8
1, 5, 3
2, 4, 3
3, 6, 0
8, 2, 0
7, 2, 13
9, 0, 5
6, 5, 11
8, 1, 0
7, 8, 19
6, 1, 14
1, 6, 0
5, 0, 3
0, 1, 0
0, 9, 0
7, 0, 17
1, 4, 2
2, 0, 5
1, 3, 0
3, 5, 10
8, 7, 0
5, 1, 3
6, 4, 11
8, 5, 0
5, 6, 0
4, 2, 0
5, 3, 0
8, 9, 0
4, 1, 0
7, 4, 15
