approaching, opponent, attackcount
5, 8, 3
5, 6, 3
7, 6, 12
2, 1, 3
1, 3, 3
1, 5, 3
6, 3, 0
8, 6, 4
9, 5, 2
6, 1, 1
2, 9, 4
3, 1, 14
2, 5, 2
2, 7, 2
1, 6, 2
1, 4, 1
5, 3, 4
2, 6, 1
8, 3, 3
4, 3, 4
6, 4, 7
6, 7, 1
0, 9, 10
0, 7, 2
7, 4, 3
4, 5, 6
6, 5, 1
7, 1, 3
8, 7, 0
3, 0, 17
6, 0, 0
9, 8, 4
2, 0, 1
4, 2, 2
0, 3, 3
4, 8, 4
7, 0, 7
8, 9, 6
0, 8, 5
7, 8, 2
7, 3, 5
9, 6, 8
6, 2, 8
5, 1, 3
9, 2, 6
5, 0, 3
8, 0, 2
5, 7, 3
0, 4, 2
7, 5, 7
3, 9, 17
0, 6, 8
5, 4, 7
3, 2, 17
8, 1, 4
4, 7, 5
7, 9, 3
9, 7, 2
1, 7, 0
4, 9, 4
3, 7, 14
4, 1, 7
1, 8, 1
9, 0, 8
0, 1, 6
2, 8, 3
1, 9, 4
3, 8, 16
3, 6, 17
4, 0, 5
6, 8, 3
2, 4, 4
8, 5, 4
3, 4, 17
0, 2, 3
9, 1, 5
4, 6, 7
1, 0, 1
8, 2, 1
0, 5, 3
6, 9, 3
5, 9, 4
5, 2, 5
3, 5, 22
7, 2, 3
9, 4, 3
8, 4, 5
1, 2, 3
9, 3, 3
2, 3, 1
