self, opp, fightsavoided
6, 4, 7
3, 7, 5
7, 3, 9
9, 0, 7
9, 8, 8
0, 4, 7
8, 4, 8
8, 1, 7
6, 2, 5
0, 6, 2
5, 2, 4
2, 5, 3
2, 8, 10
4, 1, 4
4, 6, 1
3, 1, 1
6, 8, 3
4, 7, 14
5, 9, 7
1, 0, 4
1, 6, 4
0, 1, 3
8, 6, 9
2, 4, 4
3, 6, 5
2, 3, 4
5, 8, 3
0, 2, 3
3, 4, 8
6, 5, 0
7, 9, 6
6, 0, 8
1, 8, 4
3, 0, 4
8, 2, 7
7, 0, 3
0, 7, 4
5, 0, 3
5, 7, 6
7, 1, 5
2, 6, 9
2, 0, 7
5, 1, 4
0, 8, 2
8, 9, 7
3, 8, 4
4, 5, 6
2, 7, 5
0, 5, 3
9, 7, 7
1, 7, 2
7, 8, 4
9, 3, 5
9, 6, 4
6, 7, 4
7, 5, 3
2, 1, 2
4, 3, 4
0, 3, 8
1, 9, 6
0, 9, 4
6, 1, 6
4, 9, 6
9, 5, 4
1, 2, 2
7, 4, 10
3, 9, 4
4, 0, 10
4, 2, 1
8, 5, 1
8, 0, 7
9, 2, 2
9, 4, 4
2, 9, 8
1, 3, 3
1, 4, 4
3, 5, 2
3, 2, 3
1, 5, 4
5, 6, 3
7, 6, 6
8, 3, 4
8, 7, 8
6, 3, 4
5, 3, 4
4, 8, 10
6, 9, 6
9, 1, 4
7, 2, 8
5, 4, 3
