winner, loser, victorycount
5, 8, 3
7, 3, 5
5, 6, 6
3, 9, 9
0, 9, 10
1, 9, 5
9, 5, 3
9, 0, 1
5, 1, 4
0, 2, 10
3, 0, 8
9, 3, 4
7, 6, 5
6, 5, 0
9, 7, 4
4, 1, 5
0, 1, 6
3, 7, 8
8, 5, 18
0, 8, 4
8, 6, 14
8, 1, 19
4, 5, 3
8, 4, 21
4, 8, 6
3, 8, 8
7, 1, 5
2, 9, 2
2, 4, 4
1, 8, 1
1, 4, 4
2, 5, 1
1, 3, 1
1, 2, 3
1, 0, 3
2, 3, 0
9, 8, 9
7, 0, 5
4, 6, 1
2, 0, 5
2, 7, 1
3, 2, 3
5, 3, 5
7, 8, 1
0, 3, 6
6, 0, 5
5, 2, 5
4, 0, 3
7, 9, 3
8, 2, 21
1, 7, 1
6, 4, 2
1, 6, 3
4, 7, 1
4, 2, 1
3, 6, 4
5, 9, 2
3, 1, 5
3, 4, 2
9, 4, 3
9, 2, 2
4, 3, 2
8, 7, 11
9, 6, 3
2, 1, 1
2, 6, 2
5, 0, 1
9, 1, 2
7, 2, 3
6, 3, 1
3, 5, 6
6, 8, 1
4, 9, 2
6, 2, 2
0, 5, 12
0, 4, 7
8, 3, 10
5, 4, 7
6, 1, 2
2, 8, 5
6, 7, 3
8, 9, 14
5, 7, 6
0, 7, 8
0, 6, 11
7, 5, 4
8, 0, 5
6, 9, 1
7, 4, 5
1, 5, 1
