approaching, opponent, attackcount
0, 7, 9
4, 2, 4
7, 4, 5
2, 3, 3
1, 0, 3
1, 6, 11
9, 2, 6
8, 7, 1
1, 7, 4
6, 0, 12
9, 7, 2
3, 1, 1
4, 5, 1
3, 4, 6
4, 9, 3
3, 0, 7
8, 5, 1
7, 6, 4
8, 4, 3
9, 5, 2
7, 2, 3
6, 8, 13
4, 0, 3
4, 3, 6
0, 1, 6
6, 7, 11
0, 9, 13
1, 3, 2
2, 9, 2
3, 6, 2
8, 3, 0
9, 6, 3
0, 4, 4
5, 4, 1
2, 7, 8
5, 7, 2
8, 0, 3
4, 7, 6
0, 5, 6
9, 3, 3
7, 0, 5
8, 6, 3
3, 2, 1
5, 0, 1
2, 0, 3
6, 5, 19
2, 5, 7
9, 4, 3
7, 5, 6
5, 9, 3
9, 0, 0
1, 8, 7
4, 1, 2
7, 1, 4
1, 4, 3
0, 6, 8
5, 2, 1
2, 1, 5
1, 5, 5
0, 2, 7
0, 8, 11
5, 3, 1
3, 8, 2
3, 9, 6
0, 3, 10
5, 8, 1
6, 4, 7
6, 9, 16
1, 9, 5
3, 7, 1
9, 8, 5
7, 9, 5
4, 8, 2
4, 6, 3
8, 9, 3
7, 3, 6
8, 2, 2
2, 4, 5
6, 2, 15
9, 1, 1
8, 1, 3
3, 5, 1
6, 1, 14
5, 6, 1
2, 6, 7
7, 8, 2
1, 2, 7
2, 8, 4
5, 1, 1
6, 3, 25
