self, opp, fightsavoided
0, 2, 15
4, 3, 1
8, 4, 1
8, 9, 13
6, 2, 0
5, 1, 13
7, 6, 12
2, 1, 5
2, 6, 4
5, 2, 2
0, 8, 5
3, 9, 0
9, 0, 7
6, 0, 0
7, 0, 6
4, 7, 7
5, 3, 5
6, 1, 0
3, 0, 0
2, 4, 2
8, 3, 5
4, 9, 4
5, 6, 2
0, 3, 6
3, 5, 0
6, 4, 0
1, 5, 5
4, 8, 4
1, 8, 9
0, 9, 5
2, 5, 3
8, 1, 6
1, 0, 4
5, 4, 7
1, 6, 6
2, 0, 3
8, 7, 9
1, 7, 4
0, 6, 3
7, 4, 9
9, 7, 4
5, 7, 9
2, 7, 4
7, 3, 4
8, 2, 7
1, 2, 8
9, 4, 5
4, 1, 4
4, 6, 6
6, 8, 0
1, 9, 4
7, 9, 6
0, 7, 3
9, 8, 8
7, 5, 3
0, 5, 9
3, 8, 0
2, 9, 5
3, 1, 0
6, 9, 0
9, 1, 9
3, 6, 0
1, 3, 8
8, 5, 6
0, 1, 12
6, 7, 0
6, 3, 0
9, 2, 8
8, 6, 2
9, 3, 10
2, 3, 2
7, 2, 4
1, 4, 10
5, 8, 7
7, 8, 9
7, 1, 5
8, 0, 9
3, 4, 0
2, 8, 8
4, 2, 9
5, 0, 9
9, 5, 7
4, 0, 5
6, 5, 0
0, 4, 14
3, 2, 0
9, 6, 10
3, 7, 0
5, 9, 4
4, 5, 2
