winner, loser, victorycount
6, 3, 4
1, 7, 3
8, 0, 5
5, 7, 8
0, 1, 0
1, 3, 1
5, 0, 14
0, 9, 0
7, 8, 4
5, 6, 4
0, 7, 1
8, 5, 2
0, 6, 0
5, 3, 9
9, 4, 3
1, 5, 7
3, 7, 10
8, 1, 4
3, 5, 15
8, 2, 4
1, 4, 3
4, 9, 1
6, 4, 5
9, 6, 5
2, 7, 9
0, 4, 3
7, 3, 1
9, 8, 7
3, 9, 7
4, 5, 6
6, 1, 4
8, 7, 2
0, 3, 0
1, 0, 5
1, 8, 3
6, 2, 5
4, 1, 2
3, 2, 3
7, 6, 1
2, 8, 5
1, 2, 3
8, 6, 4
0, 8, 1
3, 6, 12
4, 8, 4
7, 2, 2
0, 5, 2
2, 6, 6
6, 9, 3
9, 1, 5
6, 5, 6
2, 9, 14
4, 6, 2
9, 2, 5
9, 7, 6
2, 4, 1
1, 9, 2
8, 9, 1
6, 8, 6
5, 1, 12
2, 0, 9
5, 4, 9
6, 7, 11
1, 6, 4
5, 2, 12
7, 9, 2
4, 2, 2
2, 1, 3
4, 0, 4
2, 5, 8
3, 1, 8
3, 4, 6
5, 8, 8
7, 4, 5
4, 7, 4
2, 3, 9
6, 0, 10
8, 3, 7
9, 5, 8
3, 0, 4
0, 2, 0
8, 4, 3
9, 0, 7
7, 0, 4
7, 1, 6
5, 9, 7
7, 5, 5
9, 3, 1
3, 8, 6
4, 3, 6
